County,Vote type,Total ballots,Contest,Ballots cast,Undervotes
Appling,Absentee by Mail,530,Lieutenant Governor,523,7
Appling,Advance in Person,3298,Lieutenant Governor,3092,206
Appling,Election Day,2978,Lieutenant Governor,2768,210
Appling,Provisional,3,Lieutenant Governor,3,0
Atkinson,Absentee by Mail,88,Lieutenant Governor,88,0
Atkinson,Advance in Person,1285,Lieutenant Governor,1186,99
Atkinson,Election Day,1147,Lieutenant Governor,1028,119
Atkinson,Provisional,2,Lieutenant Governor,2,0
Bacon,Absentee by Mail,174,Lieutenant Governor,172,2
Bacon,Advance in Person,2828,Lieutenant Governor,2669,159
Bacon,Election Day,827,Lieutenant Governor,744,83
Bacon,Provisional,1,Lieutenant Governor,1,0
Baker,Absentee by Mail,141,Lieutenant Governor,135,6
Baker,Advance in Person,485,Lieutenant Governor,448,37
Baker,Election Day,665,Lieutenant Governor,607,58
Baker,Provisional,2,Lieutenant Governor,2,0
Baldwin,Absentee by Mail,1158,Lieutenant Governor,1148,10
Baldwin,Advance in Person,8295,Lieutenant Governor,7845,450
Baldwin,Election Day,6180,Lieutenant Governor,5748,432
Baldwin,Provisional,3,Lieutenant Governor,3,0
Banks,Absentee by Mail,223,Lieutenant Governor,222,1
Banks,Advance in Person,2771,Lieutenant Governor,2677,94
Banks,Election Day,3858,Lieutenant Governor,3733,125
Banks,Provisional,1,Lieutenant Governor,1,0
Barrow,Absentee by Mail,1263,Lieutenant Governor,1252,11
Barrow,Advance in Person,12223,Lieutenant Governor,11710,513
Barrow,Election Day,13912,Lieutenant Governor,13376,536
Barrow,Provisional,7,Lieutenant Governor,7,0
Bartow,Absentee by Mail,1568,Lieutenant Governor,1566,2
Bartow,Advance in Person,16175,Lieutenant Governor,16004,171
Bartow,Election Day,19584,Lieutenant Governor,19279,305
Bartow,Provisional,32,Lieutenant Governor,31,1
Ben Hill,Absentee by Mail,320,Lieutenant Governor,317,3
Ben Hill,Advance in Person,3605,Lieutenant Governor,3400,205
Ben Hill,Election Day,1608,Lieutenant Governor,1481,127
Ben Hill,Provisional,14,Lieutenant Governor,14,0
Berrien,Absentee by Mail,322,Lieutenant Governor,322,0
Berrien,Advance in Person,3153,Lieutenant Governor,3007,146
Berrien,Election Day,2772,Lieutenant Governor,2598,174
Berrien,Provisional,5,Lieutenant Governor,4,1
Bibb,Absentee by Mail,4461,Lieutenant Governor,4426,35
Bibb,Advance in Person,26183,Lieutenant Governor,24704,1479
Bibb,Election Day,29816,Lieutenant Governor,28281,1535
Bibb,Provisional,232,Lieutenant Governor,228,4
Bleckley,Absentee by Mail,257,Lieutenant Governor,255,2
Bleckley,Advance in Person,2805,Lieutenant Governor,2684,121
Bleckley,Election Day,1793,Lieutenant Governor,1702,91
Bleckley,Provisional,5,Lieutenant Governor,5,0
Brantley,Absentee by Mail,188,Lieutenant Governor,187,1
Brantley,Advance in Person,2868,Lieutenant Governor,2772,96
Brantley,Election Day,2633,Lieutenant Governor,2438,195
Brantley,Provisional,5,Lieutenant Governor,5,0
Brooks,Absentee by Mail,465,Lieutenant Governor,456,9
Brooks,Advance in Person,2417,Lieutenant Governor,2273,144
Brooks,Election Day,2814,Lieutenant Governor,2614,200
Brooks,Provisional,27,Lieutenant Governor,27,0
Bryan,Absentee by Mail,582,Lieutenant Governor,579,3
Bryan,Advance in Person,8342,Lieutenant Governor,8072,270
Bryan,Election Day,6046,Lieutenant Governor,5776,270
Bryan,Provisional,15,Lieutenant Governor,15,0
Bulloch,Absentee by Mail,1076,Lieutenant Governor,1060,16
Bulloch,Advance in Person,11170,Lieutenant Governor,10679,491
Bulloch,Election Day,11297,Lieutenant Governor,10816,481
Bulloch,Provisional,140,Lieutenant Governor,134,6
Burke,Absentee by Mail,968,Lieutenant Governor,965,3
Burke,Advance in Person,3199,Lieutenant Governor,3013,186
Burke,Election Day,4552,Lieutenant Governor,4258,294
Burke,Provisional,2,Lieutenant Governor,2,0
Butts,Absentee by Mail,380,Lieutenant Governor,377,3
Butts,Advance in Person,6277,Lieutenant Governor,6027,250
Butts,Election Day,2206,Lieutenant Governor,2104,102
Butts,Provisional,0,Lieutenant Governor,0,0
Calhoun,Absentee by Mail,185,Lieutenant Governor,183,2
Calhoun,Advance in Person,607,Lieutenant Governor,573,34
