county,precinct,cleanedprecinct,cleanedprecinctID
SPALDING,13 COUNTY LINE METHODIST CHURCH,COUNTY LINE METHODIST CHURCH,13
SPALDING,21 EAGLES LANDING BAPTIST,EAGLES LANDING BAPTIST,21
SPALDING,02 FAIRMONT,FAIRMONT,2
SPALDING,19 FIRST ASSEMBLY OF GOD CHURCH,FIRST ASSEMBLY OF GOD CHURCH,19
SPALDING,07 FIRST METHODIST,FIRST METHODIST,7
SPALDING,11 FIRST PRESBYTERIAN CHURCH,FIRST PRESBYTERIAN CHURCH,11
SPALDING,16 GARY REID FIRE STATION,GARY REID FIRE STATION,16
SPALDING,12 LIBERTY SPRINGS BAPT CHURCH,LIBERTY SPRINGS BAPT CHURCH,12
SPALDING,20 ROBERTS FIRE STATION,ROBERTS FIRE STATION,20
SPALDING,01 SECOND BAPTIST CH,SECOND BAPTIST CH,1
SPALDING,03 SENIOR CENTER,SENIOR CENTER,3
SPALDING,08 ST. JOHN LUTHERAN CHURCH,ST JOHN LUTHERAN CHURCH,8
SPALDING,14 SUNNYSIDE METHODI,SUNNYSIDE METHODI,14
SPALDING,05 UGA CAMPUS,UGA CAMPUS,5
SPALDING,09 UNION BAPTIST CHURCH,UNION BAPTIST CHURCH,9
SUMTER,W-27 AG Center,AG CENTER,W-27
SUMTER,E-27 Airport,AIRPORT,E-27
SUMTER,29 Andersonville,ANDERSONVILLE,29
SUMTER,28 Chambliss,CHAMBLISS,28
SUMTER,N-26 Concord,CONCORD,N-26
SUMTER,C2-27 GSWF Conf Center,GSWF CONF CENTER,C2-27
SUMTER,15 Leslie,LESLIE,15
SUMTER,O-26 Plains,PLAINS,O-26
SUMTER,C3-27 Rec Dept,REC DEPT,C3-27
SUMTER,C1-27 Rees Park,REES PARK,C1-27
SUMTER,17 Thomson,THOMSON,17
TAYLOR,#1 BUTLER FIRE DEPT.,BUTLER FIRE DEPT.,1
TAYLOR,#5 COURTHOUSE,COURTHOUSE,5
TAYLOR,#6 REYNOLDS,REYNOLDS,6
TELFAIR,Lumber City,LUMBER CITY,LU
THOMAS,Fire Station 2,FIRE STATION 2,107
THOMAS,Merrillville,MERRILLVILLE,112
TIFT,Mott-Littman Gym,MOTT LITTMAN GYM,11
TOOMBS,39 New Branch,NEW BRANCH,39
TOOMBS,514 S.T.I.A.L.C,S.T.I.A.L.C,514
WALKER,LAFAYETTE,LAFAYETTE,871
WARE,1231-150B,1231 150B,100
WARE,1231-150C,1231 150C,300
WARE,1231-151,1231 151,304
WARE,Beach-Bickley,BEACH BICKLEY,400
WARE,District 1,DISTRICT,404
WARE,District 2A,DISTRICT,405
WARE,District 2B,DISTRICT,406
WARE,Haywood,HAYWOOD,407
WARE,Jamestown,JAMESTOWN,408
WARE,Manor,MANOR,409
WARE,Millwood,MILLWOOD,200A
WARE,Waresboro,WARESBORO,200B
WHITE,Mt. Yonah,MT YONAH,51
WILCOX,Abbeville North 2,ABBEVILLE NORTH,2A
WILCOX,Abbeville South 5,ABBEVILLE SOUTH,5A
WILCOX,Pineview 2,PINEVIEW,2B
WILCOX,Pitts 3,PITTS,3A
WILCOX,Rochelle North 1,ROCHELLE NORTH,1A
WILCOX,Rochelle South 4,ROCHELLE SOUTH,4A
WILKES,Metasville Fire Station,METASVILLE FIRE STATION,2B
WILKES,Senior Citizen Center,SENIOR CITIZEN CENTER,1
WORTH,Sylver East,SYLVER EAST,2
